model_name,split_name,split_role,model_note,n_samples,mae_log_tau,rmse_log_tau,r2_log_tau,log_tau_pearson,log_tau_spearman,mae_tau,rmse_tau,mape_tau,tau_eff_median_absolute_relative_error,median_multiplicative_error,within_log_0_25_rate,within_log_0_50_rate,within_tau_factor_2_rate,within_tau_factor_3_rate,within_factor_10_rate,bias_log_tau,median_abs_error_log_tau,is_selection_metric,is_primary_evaluation,metric_rank
ridge_regression,split_random_70_15_15_step18,valid,Ridge alpha selected on validation split: 0.1,2346,1.110721715013038,1.7758183503386387,0.11062215296458133,0.33288341654065173,0.3987678060312863,4.285073130798251,53.91083353414905,2454114.8380265716,0.6372612651322689,2.147384839602114,0.17306052855924978,0.3410059676044331,0.46078431372549017,0.6487638533674339,0.9057971014492754,0.02365558325270539,0.7642502692396386,True,False,4.0
ridge_regression,split_random_70_15_15_step18,test,Ridge alpha selected on validation split: 0.1,2327,1.0840718821133315,1.808703999070239,0.10131770613436708,0.319165330261473,0.40753422958055696,474310800551.36346,22880273196478.05,2620496.2841469105,0.6048061330597145,2.08771862941862,0.18607649333906318,0.35969058874086807,0.4791577137945853,0.659217877094972,0.9050279329608939,-0.022660406846402508,0.7360719049144182,False,False,
ridge_regression,split_doi_group_80_20_step18,train,Ridge alpha selected on validation split: 0.1,12422,1.1058250469608737,1.8321013684675538,0.12236556353977279,0.34980789521478245,0.42561342538011404,307255074307.47675,26279182720301.098,2213954.6603673603,0.6177709073914961,2.1123539180102604,0.18161326678473677,0.3521977137336983,0.4715021735630333,0.6556915150539365,0.9042827241990018,-9.838460034675353e-17,0.7478029189973889,False,False,
ridge_regression,split_doi_group_80_20_step18,test,Ridge alpha selected on validation split: 0.1,3201,1.0640523137924394,1.6163340962121064,0.06815916683889467,0.29192114692361587,0.3652800034755344,6.474160511659193,87.23943999309743,805.0248196149511,0.6284923703679552,2.102566497690598,0.1780693533270853,0.3464542330521712,0.472039987503905,0.6576069978131833,0.9128397375820057,-0.1400745301701554,0.7431587402794861,False,True,
random_forest,split_random_80_20_step18,train,,12522,0.7577998656846187,1.3975960087153458,0.4795224375054489,0.6971084505355044,0.7447783764359827,304801352263.8634,26174040333731.684,27458.9904428612,0.4075368064554947,1.5575015917404547,0.32007666506947774,0.5399297236863121,0.653409998402811,0.8042644944896982,0.9469733269445776,0.0006151150681828503,0.44308299346507396,False,False,
random_forest,split_random_80_20_step18,test,,3101,0.8521410989795143,1.419386543405373,0.34543613804656004,0.5904013288934075,0.6707697887278941,4.032319291408002,62.52532208084457,66394.58783384517,0.4673005119226108,1.658657773593988,0.2686230248306998,0.4956465656239923,0.599484037407288,0.7697516930022573,0.9255079006772009,-0.008807585517067316,0.506008705175208,False,False,
random_forest,split_random_70_15_15_step18,train,,10950,0.7637056430848385,1.389424597431523,0.46815409524740514,0.6889847858775829,0.7432877338251261,247762675814.58688,25926443282500.746,44208.82338098631,0.4142869865389698,1.5732439489260104,0.30118721461187214,0.5323287671232877,0.6525114155251142,0.8098630136986301,0.9461187214611873,0.00217278512606997,0.453139697159087,False,False,
random_forest,split_random_70_15_15_step18,valid,,2346,0.8669052728673643,1.4909303442846156,0.3730918201800123,0.6115146429297953,0.6773451802615423,3.8954392357460064,53.79922739686523,73598.23854768262,0.46987827995003006,1.6943091450971965,0.2728047740835465,0.4884910485933504,0.5924978687127025,0.7566069906223359,0.9317988064791134,0.016856231405446474,0.527275042288866,True,False,2.0
random_forest,split_random_70_15_15_step18,test,,2327,0.8814773941703341,1.5854942791245232,0.3094413873410643,0.5567622711600279,0.653108943438501,474310800551.0273,22880273196478.05,65661.99579981242,0.4851869066601934,1.7206226511973375,0.2599914052428019,0.4748603351955307,0.5827245380318006,0.752041254834551,0.9260850880962613,-0.024881874792995372,0.5426862318268942,False,False,
random_forest,split_doi_group_80_20_step18,train,,12422,0.7502716239283264,1.3924390020814872,0.49304779529856924,0.7060600340214664,0.7585365073292017,307255074306.94995,26279182720301.094,27331.68740582077,0.40508500575904655,1.5558083778397003,0.3236193849621639,0.5442762840122364,0.6585895990983739,0.8096924810819514,0.9478344872001288,0.001260479184416148,0.44199526767772557,False,False,
random_forest,split_doi_group_80_20_step18,test,,3201,1.0068219326196493,1.6536068801622943,0.024687007387037996,0.3682416255821079,0.49575088951759066,6.355277967420452,87.16427245564284,4984.4557857551,0.5328183123516551,1.8757272040404753,0.22805373320837238,0.42361761949390814,0.5323336457357076,0.7100905966885348,0.9053420805998126,-0.15275945187804818,0.6289964263859666,False,True,
extra_trees,split_random_80_20_step18,train,,12522,0.7249292545660734,1.356227196550748,0.5098786661224386,0.7141138810074641,0.7547178267107544,304801352263.7843,26174040333731.684,24734.291437645017,0.3843250383514353,1.5094788806104464,0.34690943938667945,0.5637278390033541,0.6715380929563968,0.8124101581217058,0.9506468615237182,-3.353543817554857e-16,0.4117644786119696,False,False,
extra_trees,split_random_80_20_step18,test,,3101,0.8544464006227076,1.4469861034668903,0.3197330403089731,0.5809120149261244,0.6609139011399503,4.029860071608788,62.489436464257935,53731.91280343966,0.4620304215821886,1.6381682298565434,0.2847468558529507,0.5037084811351177,0.6091583360206385,0.764269590454692,0.9238955175749758,0.009481142743019618,0.49357868458726295,False,False,
extra_trees,split_random_70_15_15_step18,train,,10950,0.7384038631710429,1.3539441062554993,0.4949698272523294,0.7037272582872682,0.7509411399047592,247762675814.5199,25926443282500.746,31309.003546771775,0.40221664244710964,1.5444769224412536,0.32730593607305936,0.5471232876712329,0.6636529680365297,0.813972602739726,0.9494977168949772,-2.3360309120880004e-16,0.4346852910325703,False,False,
extra_trees,split_random_70_15_15_step18,valid,,2346,0.8722885573063556,1.4881994795590066,0.3753862714883096,0.6145456928107503,0.6726992131334862,3.897166110637727,53.79703012843944,16939.288978125398,0.46987244762074565,1.6921986669666946,0.2830349531116795,0.48294970161977835,0.5916453537936914,0.7536231884057971,0.9249786871270247,0.009428683852086861,0.5260286682123572,True,False,1.0
extra_trees,split_random_70_15_15_step18,test,,2327,0.8900376321965126,1.6035694285485762,0.29360645256196394,0.5497202668813679,0.6472512284411065,474310800551.0093,22880273196478.05,4428.116862055682,0.48284952941549275,1.706888796878778,0.26858616244091105,0.4740008594757198,0.5805758487322733,0.7473141383755909,0.9235066609368285,-0.026903428669413313,0.5346722963351138,False,False,
extra_trees,split_doi_group_80_20_step18,train,,12422,0.7246183272340261,1.370964769705371,0.5085636838639768,0.7132131393362913,0.7650430952434922,307255074306.8902,26279182720301.094,27797.715262590977,0.38285064475223285,1.5107233046678545,0.35050716470777654,0.5668974400257607,0.6744485590082112,0.8147641281597167,0.9512155852519724,-3.775223036561473e-17,0.41258854520798866,False,False,
extra_trees,split_doi_group_80_20_step18,test,,3201,1.0683280414737977,1.8249169464849557,-0.18786114503275475,0.30748755675102546,0.47853049968934913,6.424592665363499,87.15582531139353,6055.235536742202,0.5550346535767222,1.8853267036865333,0.21805685723211496,0.41924398625429554,0.5292096219931272,0.704154951577632,0.8972196188691034,-0.15938750850194944,0.634101123487801,False,True,
gradient_boosting,split_random_80_20_step18,train,,12522,1.0027038773335184,1.6955389079796355,0.23395509425646388,0.4915713684067403,0.5387665798648957,304801352264.17566,26174040333731.69,866285.1950094843,0.5669943654347201,1.97089303625236,0.19964861843156045,0.3874780386519725,0.5080658041846351,0.7030825746685833,0.9213384443379652,-2.2697420084973653e-17,0.6784867578732401,False,False,
gradient_boosting,split_random_80_20_step18,test,,3101,1.0082542560664338,1.5634657414307271,0.2058045469362928,0.45530839433904324,0.5110472715142189,4.366646496554672,62.70208194793681,132342.91255308624,0.5778956898667434,2.0334718213552985,0.1854240567558852,0.3711705901322154,0.49145436955820704,0.7039664624314738,0.9132537891002902,-0.022517849993235483,0.7097445890551142,False,False,
gradient_boosting,split_random_70_15_15_step18,train,,10950,0.9928634145201868,1.6486569637407238,0.2511816884843614,0.5098551858764966,0.5451097013941997,247762675814.86942,25926443282500.746,414619.7874984908,0.5669759010018937,1.9715125141328795,0.19662100456621004,0.3835616438356164,0.5092237442922375,0.7077625570776256,0.92337899543379,-3.893384853480001e-18,0.6788010217679569,False,False,
gradient_boosting,split_random_70_15_15_step18,valid,,2346,1.030524892071341,1.6918098065842582,0.1927792728278649,0.44480685756974636,0.5172927334210742,4.214266720881375,53.89947140762128,1806827.5797112316,0.5884558119623153,2.0226052286246983,0.1794543904518329,0.37894288150042627,0.49232736572890023,0.6947996589940324,0.9134697357203752,0.019221693603526574,0.7043863972764155,True,False,3.0
gradient_boosting,split_random_70_15_15_step18,test,,2327,1.0076378398652817,1.716859398305372,0.19026922063911378,0.44223103681152864,0.5266702823112108,474310800551.2795,22880273196478.05,1906388.6666686547,0.5588488763675845,1.9779477768113123,0.19639020197679416,0.3919209282337774,0.50709067468844,0.6931671680275032,0.9187795444778685,-0.016647469486464204,0.6820598308354553,False,False,
gradient_boosting,split_doi_group_80_20_step18,train,,12422,1.0132141842543012,1.6975377988336926,0.24655151436493816,0.5048036737360667,0.5452420702902036,307255074307.30524,26279182720301.098,1031033.4402360477,0.5757348074888997,1.9925375556643194,0.19449364031556915,0.3814200611817743,0.5024955723715988,0.6927225889550797,0.921268716792787,1.1440069807762038e-17,0.6894089799196701,False,False,
gradient_boosting,split_doi_group_80_20_step18,test,,3201,0.9982894887130704,1.5762512881125252,0.11380279189067732,0.36047857971970637,0.46812443512009794,6.404503121423416,87.22720080974817,988.3348002072335,0.5706706072805428,1.966863409116495,0.18744142455482662,0.38206810371758826,0.5101530771633864,0.7047797563261481,0.9206497969384567,-0.1057686624496504,0.6764400957738546,False,True,
