sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,step22_problem_reason,needs_step23_error_analysis
10.1002_adma.201104305__sample_84022,10.1002/adma.201104305,https://doi.org/10.1002/adma.201104305,,84022,Cux(CuC2S4),unknown,p,18,17,12,16,0.2525653902616905,3.3134650941743278,3.060899703912637,0.21482783317996693,27.007651500446645,26.792823667266678,0.19861918792116787,26.095914347695246,25.897295159774078,0.22201617744190677,27.226882847125434,27.004866669683526,0.01415,0.0097868032588047,0.2663630367638934,0.0137428597367226,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adma.201400515__sample_7653,10.1002/adma.201400515,https://doi.org/10.1002/adma.201400515,,7653,Cu1.98S,unknown,p,15,6,1,1,0.43922434649837105,1.521432966602155,1.082208620103784,0.4320956417580652,4.303186106519986,3.8710904647619206,0.5386682908409537,0.9798396003935379,0.4411713095525842,0.4755604540775953,1.2506716109375895,0.7751111568599942,1.362581,0.5571696810831649,2.3911354386584924,1.062409738958936,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adma.201501030__sample_42634,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,,42634,Cu2S0.50Te0.50,unknown,p,15,3,0,0,0.21910760999254886,0.6476826372131322,0.4285750272205834,0.09854467232820228,0.6582297509700585,0.5596850786418562,,,,,,,1.827485,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_adma.201501030__sample_42635,10.1002/adma.201501030,https://doi.org/10.1002/adma.201501030,,42635,Cu2S0.52Te0.48,unknown,p,15,5,2,4,0.2621252203797352,0.5273632523336813,0.26523803195394613,0.2739748779554088,0.8107649111930086,0.5367900332375999,1.0244498648615812,2.1992071956014447,1.1747573307398635,0.32007583366941494,0.8329980155159701,0.5129221818465551,0.4897661,1.4105977070663895,2.229146007947323,1.9918292200113328,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; ML false high-ZT prediction; possible missing structure/additive feature,True
10.1002_adma.201501970__sample_6417,10.1002/adma.201501970,https://doi.org/10.1002/adma.201501970,,6417,Na2.19Ga2.19Sn3.81,unknown,n,50,13,0,5,0.07648786785629022,1.9709656977379755,1.8944778298816853,0.0797480776584066,6.3526249316352805,6.272876853976874,,,,0.11930680717790096,6.6887410829287814,6.56943427575088,,1.218272164774711,8.731302798093187,1.196237494478724,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; ML false high-ZT prediction; possible missing structure/additive feature,True
10.1002_adma.201705942__sample_31967,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31967,GeTe,unknown,p,12,10,5,8,0.3917866455198375,1.0220136337961425,0.630226988276305,0.4147566089049869,0.5643650314299651,0.1496084225249782,0.4203431696314176,0.5235614962080226,0.10321832657660501,0.4124299660033297,0.5579887160176727,0.14555875001434304,0.9395894,1.65776918924827,0.6450269881773836,0.9098048069389234,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_adma.201705942__sample_31968,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31968,Ge0.95Sb0.05Te,unknown,p,12,9,6,7,0.25313928919910184,0.762426329826682,0.5092870406275802,0.21514537131278022,0.4815327257983511,0.2663873544855709,0.21546367022182064,0.5270606958972813,0.31159702567546066,0.2078567866489953,0.5060819370564547,0.29822515040745934,1.397067,1.815458348744785,0.8844067198439876,1.2992880403154785,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_adma.201705942__sample_31970,10.1002/adma.201705942,https://doi.org/10.1002/adma.201705942,,31970,Ge0.88Sb0.12Te,unknown,p,12,10,9,10,0.5026115081444255,0.7521282891891411,0.24951678104471564,0.5186845544250851,0.9929749445671907,0.4742903901421056,0.46698826054102965,0.9806255302639388,0.5136372697229092,0.5186845544250624,0.9929749445671593,0.47429039014209684,1.53783,0.9552443002942465,1.671541313103898,1.5409190210230352,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3187,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3187,PbTeNa0.02(SrTe)0.04,unknown,p,13,2,1,2,0.2988930403308747,1.0202547898733398,0.7213617495424651,0.34072935304014706,0.49453540867454393,0.15380605563439687,0.1579948296722586,0.5634276358535236,0.405432806181265,0.3407293530401386,0.4945354086745182,0.15380605563437955,1.823886,3.0491196262768496,1.1495399890393785,2.041020150709405,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3188,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3188,PbTe0.95Se0.05TeNa0.02(SrTe)0.04,unknown,p,13,4,0,0,0.3085311643179142,0.6972690864566055,0.38873792213869124,0.28166390633994426,0.5339026130016753,0.25223870666173104,,,,,,,1.088933,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3189,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3189,PbTe0.85Se0.15TeNa0.02(SrTe)0.04,unknown,p,14,4,0,1,0.3230150717931698,0.6985261852826602,0.3755111134894904,0.39417350029741693,0.37334395258426395,-0.020829547713152985,,,,0.46003322924838963,0.7093403419596925,0.2493071127113029,2.059395,0.0773481319785295,0.0416358613320631,0.1432460961826674,unknown,no,no,not_evaluated,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3191,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3191,PbTe0.65Se0.35TeNa0.02(SrTe)0.04,unknown,p,14,1,0,0,0.26956209430282335,0.6420167309680596,0.3724546366652362,0.24203851858262457,0.3064493187539403,0.06441080017131576,,,,,,,1.955358,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3192,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3192,PbTe0.85Se0.15Na0.02,unknown,p,37,7,0,3,0.3085677181925513,1.3412483370961235,1.0326806189035722,0.2828818286097424,0.7508103514891236,0.46792852287938114,,,,0.3482587513427556,0.6954944502147401,0.3472356988719845,1.19941,2.8540751287028825,0.7737368746761728,1.7441660386903015,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3193,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3193,PbTeNa0.02(SrTe)0.04,unknown,p,35,8,2,3,0.24265502551132995,0.8784949284109455,0.6358399028996156,0.19735967368819038,0.5441711828328386,0.3468115091446482,0.19027015056835483,0.5934397688458954,0.4031696182775406,0.21407988575554046,0.6097129067697518,0.3956330210142113,1.98222,1.03266208571589,0.4438904921756331,0.8728742511201394,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3194,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3194,PbTe0.85Se0.15Na0.02,unknown,p,14,3,1,1,0.40566473722624946,1.0993584035531105,0.6936936663268611,0.22146417912504712,0.6143876216756643,0.3929234425506172,0.2753126691767213,0.7391449553998316,0.4638322862231103,0.21028655032783536,0.7157384593690097,0.5054519090411743,1.712166,0.4333909967632904,0.1560013856756223,0.5487952585120652,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,sigma ML error propagated to ZT error; ML missed high ZT; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3195,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3195,PbTe0.85Se0.15Na0.02(SrTe)0.01,unknown,p,14,5,1,1,0.4134540816177534,1.05651851512474,0.6430644335069866,0.2445430987095675,0.5643749597043499,0.31983186099478245,0.10314257606348796,0.6607836371225475,0.5576410610590595,0.00036097601174561885,0.6219087840971406,0.6215478080853949,0.836581,0.7502938805742312,0.2837819640723821,0.7505648164682365,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,ML tau prediction much worse than fitting; sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3196,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3196,PbTe0.85Se0.15Na0.02(SrTe)0.02,unknown,p,14,3,0,0,0.3827194141918741,1.057262841081329,0.6745434268894548,0.2714568595979827,0.6457983266669626,0.37434146706897986,,,,,,,0.9126018,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
10.1002_aenm.201601450__sample_3197,10.1002/aenm.201601450,https://doi.org/10.1002/aenm.201601450,,3197,PbTe0.85Se0.15Na0.02(SrTe)0.03,unknown,p,14,1,0,0,0.38887350390258313,1.0264324092258907,0.6375589053233076,0.44353214822459675,0.4416801442326445,-0.0018520039919522335,,,,,,,0.4484328,,,,unknown,no,no,not_evaluated,primary DOI test sample aggregate,sigma ML error propagated to ZT error; possible missing structure/additive feature,True
