sample_key,log_tau_eff_step12,tau_eff_step12,material_system,n_or_p,sigma_fit_log_rmse_step12,sigma_fit_mape_step12
10.1063_1.3633518__sample_11400,-2.9718149035294004,0.0512102842151762,unknown,n,0.4036991714667184,0.3713282067243575
10.1063_1.3637053__sample_12821,-2.837687871358815,0.0585609099106078,unknown,n,0.4066469859119012,0.3440458879058876
10.1063_1.3637053__sample_12822,-2.0264810528387525,0.1317984980256402,unknown,n,0.2657879622869039,0.2338338874717568
10.1063_1.3637053__sample_12823,-4.83026415115493,0.0079844118957477,unknown,n,1.9236430489543,5.25248672081644
10.1063_1.3637053__sample_12824,-3.5962100077178323,0.0274274756321799,unknown,n,0.7390943828948511,0.806715432125062
10.1063_1.3637053__sample_12825,-4.820503208427724,0.008062728884986,unknown,n,1.3476828577554478,1.6401591284746828
10.1063_1.3637053__sample_12826,-2.467187003846868,0.0848231308563353,unknown,n,0.3617495652394576,0.3253785208265672
10.1063_1.3643051__sample_1446,-9.429412957388308,8.03263410831801e-05,unknown,p,0.0888249450942161,0.0840478748798176
10.1063_1.3643051__sample_1447,-9.11620737338728,0.0001098705862529,unknown,p,0.0910545931997622,0.0856783376156453
10.1063_1.3643051__sample_1448,-9.862363086857776,5.20990894222453e-05,unknown,p,0.0484053396363254,0.037850681389736
10.1063_1.3643051__sample_1449,-9.3421762756962,8.76484811176184e-05,unknown,p,0.0361987511664095,0.030889124778352
10.1063_1.3647575__sample_30130,0.0179867149762749,1.0181494501603447,unknown,p,0.2863949874795751,0.2575309364870347
10.1063_1.3647575__sample_30131,-0.249356308317295,0.7793022520363382,unknown,p,0.2698300714967527,0.2293755408666749
10.1063_1.3647575__sample_30132,-1.262236368880601,0.2830203802595059,unknown,p,0.3459836954705525,0.281831805066195
10.1063_1.3651484__sample_16623,-0.1720329889077672,0.8419513976533588,unknown,n,0.2510803077037607,0.2120711953286832
10.1063_1.3651484__sample_16625,1.3855555203474104,3.997045728412621,unknown,n,0.25853965417272,0.2043087008139181
10.1063_1.3652889__sample_13369,-2.676731195709848,0.0687876403876173,unknown,n,0.4156850665452117,0.3368279039914107
10.1063_1.3652889__sample_13370,-1.4829376095678355,0.2269699589767475,unknown,n,0.0672866880154851,0.0536835744726283
10.1063_1.3652889__sample_13371,-1.5918078454240914,0.2035572787950127,unknown,n,0.2162871564755806,0.1864196618111831
10.1063_1.3652889__sample_13372,-2.058249742531715,0.1276772424927599,unknown,n,0.5067584649776107,0.4442775338735085
10.1063_1.3652889__sample_13373,-2.4282240622981144,0.0881933194268242,unknown,n,0.7484507137541614,0.7475161372421611
10.1063_1.3653828__sample_19090,2.7394368772704767,15.478266478076849,unknown,p,0.456361096240141,0.3792485319695175
10.1063_1.3658021__sample_19021,-1.1659143840323647,0.3116375752903972,unknown,n,0.3442336253501714,0.2785337198991047
10.1063_1.3658021__sample_19022,-0.0766744987369601,0.9261912809781138,unknown,n,0.4202631224931042,0.266636289724526
10.1063_1.3658021__sample_19023,-0.7052867558280372,0.4939669060558523,unknown,n,0.4870761520729012,0.3515654667746082
10.1063_1.3658021__sample_19024,-0.016742640932799,0.9833967381379218,unknown,n,0.4714722952336705,0.3132114896439583
10.1063_1.3663526__sample_24906,-4.219077318689578,0.0147122129281776,unknown,p,1.134508612595467,1.6139065379284252
10.1063_1.3663526__sample_24907,-4.740513409267666,0.0087341608350435,unknown,p,1.544211182887269,3.445226222191951
10.1063_1.3663526__sample_24908,-4.627903015139244,0.0097752361470234,unknown,p,1.41119101984339,2.431212444152018
10.1063_1.3663526__sample_24909,-4.568634447364491,0.0103721137186218,unknown,p,1.3842360185095923,2.413068093570987
10.1063_1.3663526__sample_24911,-4.555332697826404,0.0105110026625892,unknown,p,1.4034837441589545,2.474589922528169
10.1063_1.3663569__sample_16620,0.7346359383720663,2.0847228867248373,unknown,p,0.1736571249050994,0.1264265068900981
10.1063_1.3670966__sample_12458,-0.7721833879236959,0.4620032340005554,unknown,p,0.1417458003935979,0.1139962040968206
10.1063_1.3673863__sample_2256,-1.1384377086128306,0.3203190628227128,unknown,n,0.0892918281154321,0.0794408658641358
10.1063_1.3673863__sample_2257,-1.028732738863693,0.3574596684046051,unknown,n,0.1042516781243252,0.0885474451912036
