sample_key,property_step10,temperature_K_rounded,value_raw_median,value_raw_mean,value_raw_std,value_raw_min,value_raw_max,source_point_count_step10,source_curve_count_step10,curve_ids_step10,units_y_step10
10.1016_j.mssp.2014.07.052__sample_4608,Electrical conductivity,440.351,10864.005000000001,10864.005000000001,553.3888380244038,10472.7,11255.31,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3382__prop_Electrical_conductivity__sid_3941__row_13812,ohm^(-1)*m^(-1)
10.1016_j.mssp.2014.07.052__sample_4608,Electrical conductivity,633.333,13883.295,13883.295,158.1161473411243,13771.49,13995.1,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3382__prop_Electrical_conductivity__sid_3941__row_13812,ohm^(-1)*m^(-1)
10.1016_j.mssp.2014.07.052__sample_4608,Seebeck coefficient,440.571,8.7633135e-05,8.7633135e-05,1.2552206026232994e-06,8.674556e-05,8.852071e-05,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3383__prop_Seebeck_coefficient__sid_3941__row_13814,V*K^(-1)
10.1016_j.mssp.2014.07.052__sample_4608,Seebeck coefficient,585.714,0.00012446745,0.00012446745,6.275572683030522e-07,0.0001240237,0.0001249112,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3383__prop_Seebeck_coefficient__sid_3941__row_13814,V*K^(-1)
10.1016_j.mssp.2014.07.052__sample_4608,Seebeck coefficient,632.571,0.0001328994,0.0001328994,8.367901648561648e-07,0.0001323077,0.0001334911,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3383__prop_Seebeck_coefficient__sid_3941__row_13814,V*K^(-1)
10.1016_j.mssp.2014.07.052__sample_4608,Seebeck coefficient,679.429,0.00014118345,0.00014118345,1.6736510403904437e-06,0.00014,0.0001423669,2,1,10.1016_j.mssp.2014.07.052__sample_4608__figure_3383__prop_Seebeck_coefficient__sid_3941__row_13814,V*K^(-1)
10.1016_j.mtphys.2018.05.001__sample_44013,Electrical conductivity,450.155,36913.475,36913.475,849.0018989672508,36313.14,37513.81,2,1,10.1016_j.mtphys.2018.05.001__sample_44013__figure_34147__prop_Electrical_conductivity__sid_32050__row_128672,ohm^(-1)*m^(-1)
10.1016_j.nanoen.2016.02.040__sample_3161,Electrical conductivity,318.896,1923.077,1923.077,0.0,1923.077,1923.077,2,1,10.1016_j.nanoen.2016.02.040__sample_3161__figure_2096__prop_Electrical_conductivity__sid_14305__row_7799,ohm^(-1)*m^(-1)
10.1016_j.nanoen.2020.104658__sample_29116,Seebeck coefficient,309.485,0.00038885555,0.00038885555,5.306836392805224e-07,0.0003884803,0.0003892308,2,2,10.1016_j.nanoen.2020.104658__sample_29116__figure_23388__prop_Seebeck_coefficient__sid_27570__row_84471;10.1016_j.nanoen.2020.104658__sample_29116__figure_23389__prop_Seebeck_coefficient__sid_27570__row_84476,V*K^(-1)
10.1016_j.pnsc.2018.02.007__sample_10879,Electrical conductivity,352.254,44561.4,44561.4,0.0,44561.4,44561.4,2,1,10.1016_j.pnsc.2018.02.007__sample_10879__figure_8970__prop_Electrical_conductivity__sid_18802__row_35033,ohm^(-1)*m^(-1)
10.1016_j.pnsc.2018.05.002__sample_12739,Seebeck coefficient,325.292,-3.9492815000000003e-05,-3.9492815000000003e-05,1.6443209582136024e-05,-5.111992e-05,-2.786571e-05,2,1,10.1016_j.pnsc.2018.05.002__sample_12739__figure_10560__prop_Seebeck_coefficient__sid_18657__row_40950,V*K^(-1)
