prefactor_group_key_step12,temperature_bin_K_step12,prefactor_source_step12,row_count,sample_count,median_prefactor_C_S_per_m_step12,min_prefactor_C_S_per_m_step12,max_prefactor_C_S_per_m_step12,example_sample_keys
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=300.0,300.0,material_system+n_or_p+fitting_source+temperature_bin,4482,3090,44292.96068098377,43938.947694478,44586.64652706155,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=325.0,325.0,material_system+n_or_p+fitting_source+temperature_bin,3902,2752,35063.20788347296,34812.512215745825,35348.035895923946,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=350.0,350.0,material_system+n_or_p+fitting_source+temperature_bin,3123,2118,30799.87901807522,30605.36493684124,31113.93851998158,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=375.0,375.0,material_system+n_or_p+fitting_source+temperature_bin,3804,2992,39216.71049415326,39075.10782776005,39421.404166763576,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=400.0,400.0,material_system+n_or_p+fitting_source+temperature_bin,2553,1900,33904.764229660024,33711.99772915983,34107.075666637174,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=425.0,425.0,material_system+n_or_p+fitting_source+temperature_bin,3232,2568,34341.620487798944,34243.174479246925,34456.927806534,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=450.0,450.0,material_system+n_or_p+fitting_source+temperature_bin,2513,1828,31234.41207622321,31058.20587304461,31386.714506900054,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=475.0,475.0,material_system+n_or_p+fitting_source+temperature_bin,3413,2787,34300.2811251041,34206.511551538955,34417.14677861928,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=50.0,50.0,material_system+n_or_p+fitting_source+temperature_bin,2935,940,23242.76017074132,22903.22676690951,24075.703642533583,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1007_s00339-015-9089-0__sample_18777;10.1007_s00339-015-9089-0__sample_18778;10.1007_s00339-015-9089-0__sample_18779
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=500.0,500.0,material_system+n_or_p+fitting_source+temperature_bin,2446,1816,28153.95677772327,28070.17543859649,28206.261406759404,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
