sample_key,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,pf_mape_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,tau_eff_step12,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,needs_manual_review_step15,needs_sintering_check_later_step15,doi_url
10.1039_d0ta02758h__sample_38441,unknown,p,Ge0.96Bi0.08Te1.08,10.1039/d0ta02758h,,1.814374,2.2041649483481405,1.8522803066715767,0.10623395586381124,0.10918388413204409,0.10623395586381,2.4987772303859943,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/d0ta02758h
10.1016_j.scriptamat.2020.03.018__sample_28474,unknown,p,Ge0.94Bi0.06Te,10.1016/j.scriptamat.2020.03.018,,1.810529,2.2603656650739894,1.81785571507727,0.18728675028117212,0.18041672352017066,0.1813573783945008,1.9007431038994007,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.scriptamat.2020.03.018
10.1016_j.mtphys.2021.100444__sample_45585,unknown,p,(Ge0.9Sb0.1Te)0.995(FeTe2)0.005,10.1016/j.mtphys.2021.100444,,1.801592,1.387183482555912,1.7423958318713129,0.14269274061411183,0.19816317037511735,0.15803721456589237,1.5503921448326041,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100444
10.1021_jacs.8b12450__sample_45320,unknown,p,Sn0.98Na0.02Se0.985Te0.015,10.1021/jacs.8b12450,,1.800587,4.72182803109198,1.8537862615598524,0.6250622204236653,0.6398238520492114,0.6250622204236529,0.9200901317948826,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/jacs.8b12450
10.1016_j.nanoen.2019.104347__sample_36246,unknown,p,Ge0.84Cu0.06Sb0.10Te,10.1016/j.nanoen.2019.104347,,1.800392,1.1150870681452754,1.7816624228544762,0.4464535339876697,0.3805706687725927,0.44645353398765003,1.127748292912383,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.nanoen.2019.104347
10.1021_jacs.8b10448__sample_45160,unknown,n,(PbSe0.998Br0.002)97.24(Cu2Se)2.76,10.1021/jacs.8b10448,,1.798883,7.7771272380906895,1.7835121551582092,0.8549223983098999,0.839541270549565,0.8549223983098901,1.5129191819654806,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/jacs.8b10448
10.1016_j.mtphys.2021.100444__sample_45584,unknown,p,Ge0.9Sb0.1Te,10.1016/j.mtphys.2021.100444,,1.792042,1.6106151382121345,1.8098876452789168,0.18642811093352354,0.19351309188298804,0.20095389628845461,1.439526730646644,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100444
10.1002_adma.201705942__sample_31971,unknown,p,Ge0.895Sb0.1In0.005Te,10.1002/adma.201705942,,1.790029,1.5642273922196772,1.8367600511678652,0.21899173666507163,0.1906306932635084,0.21899173666506896,1.2773304755860555,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1002/adma.201705942
10.1021_acsami.1c12282__sample_45838,unknown,p,Al0.005Sb0.1Ge0.895Te,10.1021/acsami.1c12282,,1.788779,1.4307129728459604,1.7593480239975354,0.2015204310841167,0.21410234936192643,0.24138962234450953,1.4858617779556962,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/acsami.1c12282
10.1021_acs.chemmater.7b04023__sample_31993,unknown,p,Ge0.90Sb0.10Te,10.1021/acs.chemmater.7b04023,,1.78566,1.7717421755270673,1.7167421416667572,0.03340305009330112,0.007794218649089284,0.03340305009330513,2.3136325388197423,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/acs.chemmater.7b04023
10.1039_d0ta02758h__sample_38444,unknown,p,Ge0.9312Pb0.0288Bi0.08Te1.08,10.1039/d0ta02758h,,1.785166,1.8796892045408442,1.7894412124739638,0.09515222835083002,0.0948447448272692,0.09515222835081548,2.4867300372330745,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/d0ta02758h
10.1016_j.jallcom.2019.07.120__sample_39346,unknown,p,Ge0.95Bi0.05Te,10.1016/j.jallcom.2019.07.120,,1.780928,2.5586882785429013,1.7878635952686026,0.28173427108593585,0.4137698653858196,0.4489751957070665,3.2196552929042204,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.jallcom.2019.07.120
10.1016_j.jmat.2016.05.005__sample_2715,unknown,p,(Pb0.96Mg0.04)0.98Na0.02Te0.8Se0.2,10.1016/j.jmat.2016.05.005,,1.769784,2.8597944406740097,1.7237727947195771,0.38124270908368524,0.6159002684361535,0.6681582414851492,1.1691016281718951,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.jmat.2016.05.005
10.1016_j.scriptamat.2019.09.009__sample_35187,unknown,p,Cu2Se,10.1016/j.scriptamat.2019.09.009,,1.764563,2.101478425241965,1.5839648484795683,0.18559137247728044,0.21648969561236953,0.18744967552303407,0.6927797581367817,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.scriptamat.2019.09.009
10.1039_c9tc03410b__sample_39826,unknown,p,(GeTe)19Sb2Te3,10.1039/c9tc03410b,,1.763789,1.567682685209406,1.858759382510888,0.22505012648546494,0.22120797986557056,0.22505012648545744,1.550521966038757,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c9tc03410b__sample_39825,unknown,p,(GeTe)19Sb2Te3,10.1039/c9tc03410b,,1.76,2.164314105812481,2.3285588581187864,0.15744053742320038,0.33417765200395033,0.15616746772045853,1.9146588042559372,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1016_j.jallcom.2019.07.120__sample_39414,unknown,p,Ge0.93Bi0.07Te,10.1016/j.jallcom.2019.07.120,,1.759419,1.4670378633888206,1.0834591941472191,0.2896574849732623,0.2873396767796165,0.2846503254144074,2.2515295355550813,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.jallcom.2019.07.120
10.1021_acs.chemmater.7b04023__sample_31998,unknown,p,Ge0.85Bi0.05Sb0.10Te,10.1021/acs.chemmater.7b04023,,1.758491,1.4503022938196657,1.7065864455985131,0.2223482318720298,0.21759444087861854,0.18950283423349473,1.7391562811768955,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/acs.chemmater.7b04023
10.1039_c9ee03087e__sample_35658,unknown,p,Ge0.89Cd0.03Sb0.08Te,10.1039/c9ee03087e,,1.756531,1.867844305173344,1.763769628403076,0.05290526171089196,0.05401645651136924,0.05290526171089272,1.916176034570599,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9ee03087e
10.1039_c9tc03410b__sample_39807,unknown,p,(GeTe)12Sb2Te3,10.1039/c9tc03410b,,1.755638,1.3717798279761109,1.811640871407892,0.44800042967081594,0.4434114544351698,0.44800042967078496,0.8871240908967412,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c9tc03410b__sample_39808,unknown,p,(CoGe2)0.15(GeTe)12Sb2Te3,10.1039/c9tc03410b,,1.752967,1.1255334614605323,1.7641781524632036,0.47338450244174246,0.47888131051846766,0.4748950241964335,0.738377139306735,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1016_j.mtphys.2021.100497__sample_45589,unknown,p,Ge0.9Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.746905,1.5902346471833972,1.7378535092895593,0.19211132731282526,0.1837022892176772,0.1944129218867014,1.4352008747312843,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100497
10.1039_c9tc03410b__sample_39806,unknown,p,(GeTe)12Sb2Te3,10.1039/c9tc03410b,,1.745595,1.2913625026325075,1.7236936242710943,0.3901935246673506,0.3979190258767672,0.38784652939912,0.8296505611587103,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1038_nature23667__sample_31358,unknown,n,Ba0.3In0.3Co4.03Sb12,10.1038/nature23667,,1.745313,2.0109686192549105,1.7534487764120747,0.07747737350057125,0.07890972126675788,0.07747737350056706,2.5355078051177102,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1038/nature23667
10.1039_c9tc03410b__sample_39817,unknown,p,(GeTe)17Sb2Te3,10.1039/c9tc03410b,,1.737299,1.4352903691601155,1.786459081697932,0.29789289903881633,0.29384998137259477,0.29423737421915597,1.1487146606356253,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c9tc03410b__sample_39827,unknown,p,(CoGe2)0.22(GeTe)19Sb2Te3,10.1039/c9tc03410b,,1.736471,1.5055442424360066,1.763343545719379,0.20387001246254166,0.20891355126054298,0.2078796076945254,1.391164429541643,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1016_j.scriptamat.2020.03.018__sample_28476,unknown,p,Ge0.94Bi0.06Te,10.1016/j.scriptamat.2020.03.018,,1.734151,2.326538282261284,1.7810148708290727,0.17903984755062863,0.19290427008674307,0.18478069932098154,1.9205860502845116,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.scriptamat.2020.03.018
10.1002_adfm.201806613__sample_41571,unknown,p,Ge0.97Bi0.03Te1.015,10.1002/adfm.201806613,,1.732102,0.5731696280166164,0.5569760894867827,0.3026509587155167,0.16252596362409905,0.2105542427938497,5.874836815704123,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1002/adfm.201806613
10.1021_acsaem.9b00057__sample_39738,unknown,p,Ge0.97Bi0.03Te1.015,10.1021/acsaem.9b00057,,1.728111,0.7672298355113123,0.7467669132169898,0.3212538053084238,0.034847135126698056,0.12896170705400695,5.787923731937339,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/acsaem.9b00057
10.1039_c9tc03410b__sample_39820,unknown,p,(CoGe2)0.2(GeTe)17Sb2Te3,10.1039/c9tc03410b,,1.727203,1.404535119490976,1.7379503151082292,0.365521396599831,0.3336725406433031,0.3655213965998129,1.2510771988938847,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c9tc03410b__sample_39828,unknown,p,(CoGe2)0.22(GeTe)19Sb2Te3,10.1039/c9tc03410b,,1.726559,1.5753534757215337,1.7969126369158237,0.22397683089039075,0.21832612008439992,0.2239768308903808,1.5022157006092571,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c9tc03410b__sample_39818,unknown,p,(GeTe)17Sb2Te3,10.1039/c9tc03410b,,1.726269,1.2415748821180643,1.7344749946173554,0.345977210008975,0.3311259753797161,0.3459772100089464,1.1919626853107455,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1039_c8ta12210e__sample_39743,unknown,p,(Cu2Se)99.49(SiC)0.51,10.1039/c8ta12210e,,1.725543,2.0497784092246314,1.6732415142569914,0.19702900647823632,0.2283307136752295,0.19889532489099215,2.5534017067824744,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c8ta12210e
10.1002_adma.201705942__sample_31969,unknown,p,Ge0.9Sb0.1Te,10.1002/adma.201705942,,1.725513,1.6180158083914955,1.6864853380328115,0.1311128102645646,0.16144031437044207,0.13111281026456748,1.7720341385277343,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1002/adma.201705942
10.1039_c9tc03410b__sample_39809,unknown,p,(CoGe2)0.15(GeTe)12Sb2Te3,10.1039/c9tc03410b,,1.722625,1.1059568335435088,1.7521564037826298,0.5415695279567718,0.5307358991460709,0.5415695279567371,0.7673017279751468,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1021_ic5010243__sample_20821,unknown,p,(GeTe)80(AgSbTe)20,10.1021/ic5010243,,1.71947,0.7112186769210426,0.7587613868134382,0.011423879085962213,0.5513162976026689,0.12647703893200662,1.7399437297939861,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1021/ic5010243
10.1002_aenm.201601450__sample_3194,unknown,p,PbTe0.85Se0.15Na0.02,10.1002/aenm.201601450,,1.712166,0.4333909967632904,0.5487952585120652,0.22146417912503816,0.2753126691767213,0.21028655032783536,2.008678850309027,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1002/aenm.201601450
