sample_key,classification_case_step15,threshold_step15,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,manual_review_priority_score_step15,needs_manual_review_step15,needs_sintering_check_later_step15,sintering_check_reason_step15,doi_url
10.1016_j.mtphys.2018.05.001__sample_44011,true_positive,1.0,unknown,n,Ag9GaSe5.98,10.1016/j.mtphys.2018.05.001,,1.302239,1.6528342992830671,1.3087280880493497,0.16681204450897652,0.16367288696917343,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2018.05.001
10.1016_j.mtphys.2018.05.001__sample_44012,true_positive,1.0,unknown,n,Ag9GaSe5.68Te0.3,10.1016/j.mtphys.2018.05.001,,1.45101,2.0128600270072186,1.4478222940882948,0.18399452762494645,0.18627637206009323,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2018.05.001
10.1016_j.mtphys.2018.05.001__sample_44013,true_positive,1.0,unknown,n,Ag9GaSe5.53Te0.45,10.1016/j.mtphys.2018.05.001,,1.560953,2.2796337737651076,1.5808941584113956,0.17692168166847383,0.16791024921082334,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2018.05.001
10.1016_j.mtphys.2018.05.001__sample_44014,true_positive,1.0,unknown,n,Ag9GaSe5.38Te0.6,10.1016/j.mtphys.2018.05.001,,1.376961,2.0106418165017654,1.3633260101345632,0.27884244435654953,0.2401311818242402,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2018.05.001
10.1016_j.mtphys.2018.05.001__sample_44015,true_positive,1.0,unknown,n,Ag9GaSe5.23Te0.75,10.1016/j.mtphys.2018.05.001,,1.367921,1.9987640443084702,1.3325676409126268,0.20363572213600425,0.20556005214787806,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2018.05.001
10.1016_j.mtphys.2018.11.002__sample_23396,false_positive,1.0,unknown,p,Zr0.5Hf0.5CoSb0.8Sn0.2,10.1016/j.mtphys.2018.11.002,,0.8422534,1.2409084065445546,0.8775804079745898,0.4733195574450095,0.3607314213403088,False,True,True,75,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2018.11.002
10.1016_j.mtphys.2020.100180__sample_34195,false_positive,1.0,unknown,p,Cu2ErTe3,10.1016/j.mtphys.2020.100180,,0.1283944,1.490106927615977,0.7269510480091018,0.3491135416805088,0.6783674012124598,False,True,True,75,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2020.100180
10.1016_j.mtphys.2020.100180__sample_34197,false_positive,1.0,unknown,p,Cu2.7Ag0.3ErTe3,10.1016/j.mtphys.2020.100180,,0.7135401,1.9059901501203624,1.0150925742848962,,0.8776515545521335,False,True,True,75,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2020.100180
10.1016_j.mtphys.2020.100206__sample_35858,true_positive,1.0,unknown,n,Ce0.15Co4Sb12,10.1016/j.mtphys.2020.100206,,,1.1347085612620775,1.174205089513764,,0.04342233218225288,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1016/j.mtphys.2020.100206
10.1016_j.mtphys.2020.100206__sample_35859,true_positive,1.0,unknown,n,Y0.025Ce0.15Co4Sb12,10.1016/j.mtphys.2020.100206,,,1.303018440400714,1.257278061518455,,0.047825378064052175,False,True,True,35,no,yes,high predicted ZT,https://doi.org/10.1016/j.mtphys.2020.100206
