sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1109_ict.2006.331277__sample_15777,-0.308668896427282,0.7344239001506452,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15778,-0.5312056018549651,0.5878957740247669,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15779,0.4416158542767359,1.5552181952507944,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15780,-0.3569301927556541,0.6998213486294003,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15781,-0.0827321187304686,0.920597725079177,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15782,0.5500924420155634,1.733413250675856,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331277__sample_15783,0.4360016985617477,1.5465114215922895,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2006.331285__sample_28534,-0.1603159937330371,0.8518745594089181,True,medium,ok,True,ok
10.1109_ict.2006.331285__sample_28535,-1.002060585390234,0.3671221746437156,True,medium,ok,True,ok
10.1109_ict.2006.331285__sample_28537,-1.5940382502003447,0.2031037696106788,True,medium,ok,True,ok
10.1109_ict.2006.331285__sample_28538,-1.760902898346634,0.1718895949065301,True,medium,ok,True,ok
10.1109_ict.2006.331285__sample_28539,-2.1713069743013924,0.1140284871753341,True,medium,ok,True,ok
10.1109_ict.2006.331285__sample_28541,-2.423021817348217,0.0886533181530271,True,medium,ok,True,ok
10.1109_ict.2006.331289__sample_23513,-0.0315604568754971,0.9689323760589392,True,medium,ok,True,ok
10.1109_ict.2006.331291__sample_26581,-4.7095784765493045,0.0090085741074618,True,low,ok,False,large validation error
10.1109_ict.2006.331291__sample_26582,-1.713941043355229,0.1801543954312906,True,medium,ok,True,ok
10.1109_ict.2006.331291__sample_26583,-0.7717962787967338,0.4621821142899855,True,medium,ok,True,ok
10.1109_ict.2006.331291__sample_26584,-0.5604369915198067,0.5709595048634277,True,medium,ok,True,ok
10.1109_ict.2006.331294__sample_12405,-1.4491436798158368,0.2347712413940012,True,low,ok,False,large validation error
