sample_key,composition,material_system,n_or_p,fit_status_step12,n_fit_rows_step12,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,target_available_step18,target_quality_step18,ml_exclusion_reason_step18
10.1039_c0ee00456a__sample_90,Pb0.995Na0.005Te1,unknown,p,ok,19,0.7931320631364819,1.2806678751420468,True,low,large validation error
10.1039_c0ee00517g__sample_13447,Ca2.97Na0.03AlSb3,unknown,p,ok,46,0.7622980235262466,1.1564294254740417,True,low,large validation error
10.1039_c0ee00517g__sample_13448,Ca2.94Na0.06AlSb3,unknown,p,ok,48,0.7207135688934901,1.0868265685446257,True,low,large validation error
10.1039_c0jm01363c__sample_14356,Tl4ZrTe4,unknown,p,ok,11,1.060142058621863,1.7550305338013117,True,low,large sigma fit error
10.1039_c0jm01363c__sample_14357,Tl4HfTe4,unknown,p,ok,11,1.856702205197862,2.9637427184685805,True,low,large sigma fit error
10.1039_c0jm02000a__sample_16987,Mg0.02Zn3.98Sb3,unknown,p,ok,37,0.6828843458540549,1.026601917395711,True,low,large validation error
10.1039_c0sc00537a__sample_32698,ZnO,unknown,n,ok,26,0.7193123639276746,1.0451752445762488,True,low,large validation error
10.1039_c1dt10721f__sample_21007,LaOZnSb,unknown,p,ok,10,0.6272348323727969,1.1655372859484143,True,low,large validation error
10.1039_c1ee01895g__sample_27509,Pb0.98Tl0.02Te0.95Se0.05,unknown,p,ok,26,0.7376407947313913,1.1686456523208333,True,low,large validation error
10.1039_c1ee01895g__sample_27511,Pb0.98Tl0.02Te0.8Se0.2,unknown,p,ok,25,1.037716425030713,1.618930230337246,True,low,large sigma fit error
10.1039_c1ee01928g__sample_31399,PbTe:Na,unknown,p,ok,20,0.8147932712614516,1.2466734014351657,True,low,large validation error
10.1039_c1ee02297k__sample_190,Pb1.01Ca0.05Te1.05Na0.02,unknown,p,ok,16,0.5437393380839928,1.0215671075142942,True,low,large validation error
10.1039_c1ee02297k__sample_214,Pb1.01Te1Na0.02,unknown,p,ok,11,0.7473965375544774,1.2764739401718084,True,low,large validation error
10.1039_c1ee02297k__sample_241,Pb1.01Ca0.03Te1.03Na0.02,unknown,p,ok,12,0.6689462812939518,1.0995198595543632,True,low,large validation error
10.1039_c1ee02297k__sample_268,Pb1.01Ca0.01Te1.01Na0.02,unknown,p,ok,10,0.8184611907023691,1.0862440903280297,True,low,large validation error
10.1039_c1ee02297k__sample_315,Pb1.01Ca0.005Te1.005Na0.02,unknown,p,ok,7,0.5972106986766483,1.1990009042274556,True,low,large validation error
10.1039_c1ee02297k__sample_323,Pb1.01Ca0.02Te1.02Na0.02,unknown,p,ok,10,0.6643094305008111,1.2199480734105697,True,low,large validation error
10.1039_c1ee02297k__sample_6168,Pb1.01Ba0.03Te1.03Na0.02,unknown,p,ok,12,0.655256221981695,1.0062251303411869,True,low,large validation error
10.1039_c1jm00025j__sample_8673,Mg2Si0.5Sn0.5S,unknown,n,ok,12,1.0511050337557843,1.8783558866469752,True,low,large sigma fit error
10.1039_c1jm13888j__sample_14358,(PbTe)0.05(Ag2Te)0.95,unknown,n,ok,15,0.7566209367801926,1.2893791871102374,True,low,large validation error
10.1039_c1jm13888j__sample_14360,(PbTe)0.1(Ag2Te)0.9,unknown,n,ok,15,0.709423503500522,1.1950360336045436,True,low,large validation error
10.1039_c1jm13888j__sample_14361,(PbTe)0.1(Ag1.9996Te)0.9,unknown,n,ok,15,0.7095789647775647,1.1809425630528914,True,low,large validation error
10.1039_c1jm13888j__sample_14362,(PbTe)0.15(Ag2Te)0.85,unknown,n,ok,15,0.5749613550624618,1.0607041767313234,True,low,large validation error
10.1039_c2cc30318c__sample_13745,CuInTe2,unknown,p,ok,12,0.8767084849267955,1.5432946399268894,True,low,large validation error
10.1039_c2cc30318c__sample_13746,CuInTe2,unknown,p,ok,12,0.5546447118037025,1.0422817096895,True,low,large validation error
10.1039_c2ce25119a__sample_10598,ZrNiSn,unknown,n,ok,16,0.5583943098038154,1.048922533276342,True,low,large validation error
10.1039_c2ce25119a__sample_10599,ZrNiSn,unknown,n,ok,15,0.4754489134726151,1.0033701672345308,True,low,large validation error
10.1039_c2cp23955h__sample_7547,Bi1.99Cu0.01S3,unknown,n,ok,6,1.460311446944066,,True,low,large sigma fit error
10.1039_c2cp23955h__sample_7548,Bi1.97Cu0.03S3,unknown,n,ok,6,1.5629982190142937,,True,low,large sigma fit error
10.1039_c2cp41743j__sample_26012,LaCo0.95Cu0.05O3,unknown,p,ok,8,2.826356969926181,3.562321695217194,True,low,large sigma fit error
10.1039_c2cp41743j__sample_26014,LaCo0.85Cu0.15O3,unknown,p,ok,8,1.215119940994747,1.823538780898792,True,low,large sigma fit error
10.1039_c2cp41743j__sample_26015,LaCo0.8Cu0.2O3,unknown,p,ok,7,1.047936353314816,1.7023341922376896,True,low,large sigma fit error
10.1039_c2cp41743j__sample_26016,LaCo0.75Cu0.25O3,unknown,p,ok,8,0.9371084198914724,1.39143528694359,True,low,large validation error
10.1039_c2cp43946h__sample_11961,Ti0.5Zr0.25Hf0.25NiSn,unknown,n,ok,38,1.7973685797978434,3.067771074591348,True,low,large sigma fit error
10.1039_c2cp43946h__sample_11962,Ti0.5Zr0.25Hf0.25NiSn0.999Sb0.001,unknown,n,ok,33,1.2059609875978128,2.179543966718622,True,low,large sigma fit error
10.1039_c2cp43946h__sample_11963,Ti0.5Zr0.25Hf0.25NiSn0.998Sb0.002,unknown,n,ok,26,0.7069787317994761,1.384094041354926,True,low,large validation error
10.1039_c2dt31346d__sample_27325,Ca3Co4O9,unknown,p,ok,92,5.815844828422578,5.400906496470136,True,low,large sigma fit error
10.1039_c2dt31346d__sample_27326,Ca3Co3.8Cu0.2O9,unknown,p,ok,102,5.28800438339423,4.915114440947927,True,low,large sigma fit error
10.1039_c2dt31346d__sample_27327,Ca3Co3.6Cu0.4O9,unknown,p,ok,97,4.454042227729568,4.067070894685913,True,low,large sigma fit error
10.1039_c2dt31346d__sample_27328,Ca3Co3.4Cu0.6O9,unknown,p,ok,97,5.428845608126621,5.186708070432449,True,low,large sigma fit error
10.1039_c2dt31346d__sample_27329,Ca3Co3.2Cu0.8O9,unknown,p,ok,89,5.258071718320866,4.816291878065798,True,low,large sigma fit error
10.1039_c2ee21274a__sample_20869,BiCuSeO,unknown,p,ok,10,1.2183840057052286,2.033188752181686,True,low,large sigma fit error
10.1039_c2ee21274a__sample_20870,BiCuSeO,unknown,p,ok,10,1.1159104795598889,1.644317062489443,True,low,large sigma fit error
10.1039_c2ee21274a__sample_20871,BiCuSeO,unknown,p,ok,10,0.8385560055865282,1.3240884235236643,True,low,large validation error
10.1039_c2ee22622g__sample_21015,BiCuSeO,unknown,p,ok,10,1.0149279640232576,1.8153549531006308,True,low,large sigma fit error
10.1039_c2jm16369a__sample_13547,In4Se2.35,unknown,n,ok,8,1.580425682573848,2.489825594808079,True,low,large sigma fit error
